source_location_name,source_location_url,source_location_expected_concerts,page_number,date_text,year,concert_text,is_vietnamese_concert,concert_url,venue_name,venue_url
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Jun 13, 2026 Upcoming",2026,Kim Sung Kyu LV4: LEAP TO VECTOR,FALSE,https://www.concertarchives.org/concerts/kim-sung-kyu--13488256,Hoa Binh Cultural Center,https://www.concertarchives.org/venues/hoa-binh-cultural-center
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Jun 13, 2026 Upcoming",2026,"Armin van Buuren / Ferry Corsten / Cosmic Gate / Ruben de Ronde / Nifra Livescape Group presents ""A STATE OF TRANCE VIETNAM"" 2026",FALSE,https://www.concertarchives.org/concerts/livescape-group-presents-a-state-of-trance-vietnam-2026,Van Phuc City,https://www.concertarchives.org/venues/van-phuc-city
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"May 27, 2026 Upcoming",2026,Haywire / Happyco. / Elbowdrop / CÚT LỘN / 9xacly Haywire Live In Vietnam,TRUE,https://www.concertarchives.org/concerts/haywire-live-in-vietnam,Blue Monkey,https://www.concertarchives.org/venues/blue-monkey--1333111
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"May 08, 2026 – May 09, 2026",2026,Long Tranh Hổ Đấu 2026 7UPPERCUTS / Under Pressure / CÚT LỘN / Infernal Chaos / 9xacly / 18.18 / Diarsia / Knife Sticking Head / Empathize / Morning Waits / ElbowDrop (VN),TRUE,https://www.concertarchives.org/concerts/long-tranh-h-d-u-2026,VAIB Studio,https://www.concertarchives.org/venues/vaib-studio
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Apr 26, 2026",2026,Bùi Lan Hương Buổi Liên Hoan Văn Nghệ Đầu Tiên của Đàn Ems Anh Lâm Hùng,TRUE,https://www.concertarchives.org/concerts/bu-i-lien-hoan-van-ngh-d-u-tien-c-a-dan-ems-anh-lam-hung,Nhà hát Bến Thành,https://www.concertarchives.org/venues/nha-hat-b-n-thanh
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Apr 25, 2026",2026,Nhạc của Trang The Concert: SANG TRANG,TRUE,https://www.concertarchives.org/concerts/the-concert-sang-trang,Nhà hát Hòa Bình,https://www.concertarchives.org/venues/nha-hat-hoa-binh
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Apr 25, 2026",2026,Ái Phương - Quang Đăng Trần Hoa Nở Bên Đường,TRUE,https://www.concertarchives.org/concerts/cat-mouse--13453612,Cat & Mouse,https://www.concertarchives.org/venues/cat-mouse
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Apr 25, 2026",2026,"EXO Saigon Exhibition & Convention Centre, Ho Chi Minh City, Vietnam",FALSE,https://www.concertarchives.org/concerts/exo--13488324,Outdoor StageSaigon Exhibition & Convention Centre,https://www.concertarchives.org/venues/outdoor-stagesaigon-exhibition-convention-centre
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Apr 22, 2026",2026,Foreseen / CÚT LỘN / ElbowDrop (VN),TRUE,https://www.concertarchives.org/concerts/foreseen-cut-l-n-elbowdrop-vn,Blue Monkey,https://www.concertarchives.org/venues/blue-monkey--1333111
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Apr 19, 2026",2026,Hà Nhi x Trung Quân Trót Yêu Tri Kỷ,TRUE,https://www.concertarchives.org/concerts/trot-yeu-tri-k,Nhà hát Bến Thành,https://www.concertarchives.org/venues/nha-hat-b-n-thanh
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Apr 18, 2026",2026,Jessica Reflections Tour,FALSE,https://www.concertarchives.org/concerts/reflections-tour--13697717,Tan Binh Gymnasium,https://www.concertarchives.org/venues/tan-binh-gymnasium
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Apr 11, 2026",2026,"Bùi Lan Hương, Hồng Nhung, Cẩm Vân Musique de Salon 20 | Đêm nhạc Trịnh Công Sơn",TRUE,https://www.concertarchives.org/concerts/musique-de-salon-20-dem-nh-c-tr-nh-cong-s-n,GEM Center,https://www.concertarchives.org/venues/gem-center
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Mar 28, 2026",2026,Hoàng Dũng Xoay Tròn Concert,TRUE,https://www.concertarchives.org/concerts/hoang-dung--13488355,Saigon Exhibition & Convention Centre,https://www.concertarchives.org/venues/saigon-exhibition-convention-centre
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Mar 21, 2026",2026,Super Junior SUPER SHOW 10,FALSE,https://www.concertarchives.org/concerts/super-show-10--12509207,SECC OUTDOOR,https://www.concertarchives.org/venues/secc-outdoor--1297810
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Mar 21, 2026",2026,Super Junior Super Show 10,FALSE,https://www.concertarchives.org/concerts/super-show-10--12509201,SECC OUTDOOR,https://www.concertarchives.org/venues/secc-outdoor
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Mar 21, 2026",2026,Phùng Khánh Linh Giữa Một Vạn Tour,TRUE,https://www.concertarchives.org/concerts/gi-a-m-t-v-n-tour,Nhà hát Hòa Bình,https://www.concertarchives.org/venues/nha-hat-hoa-binh
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Feb 18, 2026",2026,Hoàng Yến Chibi / Phương Thanh,TRUE,https://www.concertarchives.org/concerts/hoang-y-n-chibi,Tao Dan Park,https://www.concertarchives.org/venues/tao-dan-park
"Ho Chi Minh City, Viet Nam",https://www.concertarchives.org/locations/ho-chi-minh-city-viet-nam,366,1,"Feb 07, 2026",2026,T‐ARA,FALSE,https://www.concertarchives.org/concerts/t-ara--13080649,Military Zone 7 Indoor Sports Complex,https://www.concertarchives.org/venues/military-zone-7-indoor-sports-complex
