month,price_bucket,price_bucket_pretty,ticket_tier_count,sold_out_count
2022-06,"(100000,500000]",100k - 500k,6,6
2022-06,"(500000,1000000]",500k - 1M,4,4
2022-06,"(1000000,5000000]",1M - 5M,20,18
2022-06,"(5000000,10000000]",5M - 10M,2,2
2022-08,"(100000,500000]",100k - 500k,4,0
2022-08,"(500000,1000000]",500k - 1M,1,0
2022-08,"(1000000,5000000]",1M - 5M,2,1
2022-10,"(100000,500000]",100k - 500k,1,0
2022-11,"(0,100000]",<= 100k,1,0
2022-11,"(100000,500000]",100k - 500k,2,0
2022-12,"(0,100000]",<= 100k,2,0
2022-12,"(100000,500000]",100k - 500k,3,1
2022-12,"(500000,1000000]",500k - 1M,4,3
2022-12,"(1000000,5000000]",1M - 5M,5,3
2023-01,"(0,100000]",<= 100k,3,0
2023-01,"(100000,500000]",100k - 500k,62,12
2023-01,"(500000,1000000]",500k - 1M,48,1
2023-01,"(1000000,5000000]",1M - 5M,24,1
2023-02,(blank),Free / 0 VND,1,0
2023-02,"(0,100000]",<= 100k,4,0
2023-02,"(100000,500000]",100k - 500k,84,10
2023-02,"(500000,1000000]",500k - 1M,99,12
2023-02,"(1000000,5000000]",1M - 5M,59,20
2023-02,"(5000000,10000000]",5M - 10M,2,1
2023-03,(blank),Free / 0 VND,3,1
2023-03,"(0,100000]",<= 100k,3,0
2023-03,"(100000,500000]",100k - 500k,95,8
2023-03,"(500000,1000000]",500k - 1M,126,12
2023-03,"(1000000,5000000]",1M - 5M,80,11
2023-03,"(5000000,10000000]",5M - 10M,2,0
2023-04,(blank),Free / 0 VND,7,0
2023-04,"(100000,500000]",100k - 500k,103,5
2023-04,"(500000,1000000]",500k - 1M,114,11
2023-04,"(1000000,5000000]",1M - 5M,67,18
2023-05,(blank),Free / 0 VND,2,0
2023-05,"(0,100000]",<= 100k,2,0
2023-05,"(100000,500000]",100k - 500k,72,7
2023-05,"(500000,1000000]",500k - 1M,112,9
2023-05,"(1000000,5000000]",1M - 5M,73,25
2023-05,"(5000000,10000000]",5M - 10M,5,3
2023-06,(blank),Free / 0 VND,5,0
2023-06,"(0,100000]",<= 100k,5,0
2023-06,"(100000,500000]",100k - 500k,86,2
2023-06,"(500000,1000000]",500k - 1M,101,7
2023-06,"(1000000,5000000]",1M - 5M,75,20
2023-06,"(5000000,10000000]",5M - 10M,10,3
2023-07,(blank),Free / 0 VND,6,0
2023-07,"(0,100000]",<= 100k,7,0
2023-07,"(100000,500000]",100k - 500k,96,3
2023-07,"(500000,1000000]",500k - 1M,107,9
2023-07,"(1000000,5000000]",1M - 5M,88,21
2023-07,"(5000000,10000000]",5M - 10M,1,1
2023-08,(blank),Free / 0 VND,2,0
2023-08,"(0,100000]",<= 100k,2,0
2023-08,"(100000,500000]",100k - 500k,99,6
2023-08,"(500000,1000000]",500k - 1M,118,9
2023-08,"(1000000,5000000]",1M - 5M,106,18
2023-09,(blank),Free / 0 VND,3,0
2023-09,"(0,100000]",<= 100k,3,0
2023-09,"(100000,500000]",100k - 500k,97,10
2023-09,"(500000,1000000]",500k - 1M,122,11
2023-09,"(1000000,5000000]",1M - 5M,70,18
2023-09,"(5000000,10000000]",5M - 10M,3,1
2023-09,"(10000000,20000000]",10M - 20M,1,1
2023-09,"(20000000,+inf)",> 20M,1,1
2023-10,(blank),Free / 0 VND,5,1
2023-10,"(0,100000]",<= 100k,7,0
2023-10,"(100000,500000]",100k - 500k,61,16
2023-10,"(500000,1000000]",500k - 1M,63,16
2023-10,"(1000000,5000000]",1M - 5M,82,24
2023-10,"(5000000,10000000]",5M - 10M,7,0
2023-10,"(10000000,20000000]",10M - 20M,1,0
2023-10,"(20000000,+inf)",> 20M,2,0
2023-11,(blank),Free / 0 VND,2,1
2023-11,"(0,100000]",<= 100k,9,2
2023-11,"(100000,500000]",100k - 500k,63,3
2023-11,"(500000,1000000]",500k - 1M,67,7
2023-11,"(1000000,5000000]",1M - 5M,76,18
2023-11,"(5000000,10000000]",5M - 10M,2,0
2023-11,"(10000000,20000000]",10M - 20M,2,0
