unified_app_id,game_name,app_id,os,app_name,publisher_name,game_revenue_2025,app_revenue_2025,country,date,date_granularity,confidence,average_age_total,female,male,normalized_demographics_female_18,normalized_demographics_female_25,normalized_demographics_female_35,normalized_demographics_female_45,normalized_demographics_female_55,normalized_demographics_male_18,normalized_demographics_male_25,normalized_demographics_male_35,normalized_demographics_male_45,normalized_demographics_male_55,avg_dau_2025,days_with_dau
59d296dd60104c08ce201a27,Garena Free Fire,com.dts.freefireth,android,Free Fire: Undersea Mystery,GARENA INTERNATIONAL I,128540424.9,58523584.65,SE_ASIA,2026-05-20,all_time,11.0,29.0,0.3149,0.6851,0.1085,0.1152,0.0622,0.0224,0.0066,0.239,0.2507,0.1344,0.0467,0.0143,3194120.0464480873,366.0
59d296dd60104c08ce201a27,Garena Free Fire,com.dts.freefiremax,android,Free Fire MAX,GARENA INTERNATIONAL I,128540424.9,38484982.8,SE_ASIA,2026-05-20,all_time,11.0,30.0,0.2329,0.7671,0.0757,0.0819,0.0516,0.0185,0.0052,0.2565,0.27,0.1668,0.057,0.0168,2665302.281420765,366.0
59d296dd60104c08ce201a27,Garena Free Fire,1480516829,ios,Free Fire MAX,GARENA INTERNATIONAL I PRIVATE LIMITED,128540424.9,16321860.15,SE_ASIA,2026-05-20,all_time,10.0,29.0,0.2993,0.7007,0.0952,0.1131,0.06,0.0243,0.0067,0.2269,0.2638,0.1408,0.0537,0.0155,787315.393442623,366.0
59d296dd60104c08ce201a27,Garena Free Fire,1300146617,ios,Free Fire: Undersea Mystery,GARENA INTERNATIONAL I PRIVATE LIMITED,128540424.9,15209997.3,SE_ASIA,2026-05-20,all_time,10.0,30.0,0.3119,0.6881,0.1002,0.11,0.068,0.0263,0.0074,0.227,0.2469,0.1455,0.0531,0.0156,933389.4644808744,366.0
61a54e681800977bed4c561d,Arena of Valor,com.garena.game.kgvn,android,Garena Liên Quân Mobile,Garena Mobile Private,73409116.05,41666863.2,SE_ASIA,2026-05-20,all_time,11.0,29.0,0.2271,0.7729,0.0723,0.1027,0.033,0.0147,0.0044,0.2453,0.3512,0.1115,0.0499,0.015,7121930.636612022,366.0
61a54e681800977bed4c561d,Arena of Valor,1150288115,ios,Garena Liên Quân Mobile,Garena Mobile Private,73409116.05,31742252.85,SE_ASIA,2026-05-20,all_time,10.0,28.0,0.2622,0.7378,0.0959,0.1081,0.0372,0.0163,0.0047,0.2622,0.3141,0.103,0.0453,0.0132,2589481.770491803,366.0
55d3a1a802ac64350a000d6e,Roblox,com.roblox.client.vnggames,android,Roblox - VNG,"VNGGames Co., Ltd",56618997.15,31567467.6,SE_ASIA,2026-05-20,all_time,9.0,31.0,0.2762,0.7238,0.0432,0.1311,0.0713,0.0253,0.0053,0.1195,0.3323,0.1922,0.0657,0.0141,3542979.879781421,366.0
55d3a1a802ac64350a000d6e,Roblox,6474715805,ios,Roblox VN,"VNGGames Co., Ltd",56618997.15,25051529.55,SE_ASIA,2026-05-20,all_time,10.0,31.0,0.3855,0.6145,0.1134,0.1207,0.104,0.0379,0.0095,0.179,0.1947,0.1662,0.0595,0.0151,1214171.4918032787,366.0
5aad42d99f479f0a74d40440,PUBG MOBILE,1438396625,ios,PUBG Mobile VN,VNG CORPORATION,40332216.6,25862275.35,SE_ASIA,2026-05-20,all_time,9.0,28.0,0.1949,0.8051,0.0697,0.0856,0.0265,0.01,0.0031,0.3032,0.3496,0.1034,0.0373,0.0116,258415.0300546448,366.0
5aad42d99f479f0a74d40440,PUBG MOBILE,com.vng.pubgmobile,android,PUBG Mobile VN,VNG GROUP JSC,40332216.6,14469941.25,SE_ASIA,2026-05-20,all_time,9.0,28.0,0.2219,0.7781,0.0779,0.0952,0.0303,0.0146,0.0039,0.2727,0.3345,0.1071,0.0503,0.0135,316601.68032786885,366.0
5fee6d73b66dd8498d61a935,Play Together:Cozy Social Life,com.vng.playtogether,android,Play Together VNG,VNG GROUP JSC,36479983.8,18296369.4,SE_ASIA,2026-05-20,all_time,9.0,34.0,0.5437,0.4563,0.09,0.1709,0.1918,0.0744,0.0166,0.0758,0.1395,0.1643,0.0627,0.014,1331971.199453552,366.0
5fee6d73b66dd8498d61a935,Play Together:Cozy Social Life,1612175933,ios,Play Together VNG,VNG CORPORATION,36479983.8,18183614.4,SE_ASIA,2026-05-20,all_time,7.0,31.0,0.5386,0.4614,0.1476,0.1678,0.152,0.0585,0.0127,0.1265,0.1467,0.1262,0.0507,0.0113,547775.3715846995,366.0
5da680bb42fa0c4364eb64c8,League of Legends: Wild Rift,1531280382,ios,LMHT: Tốc Chiến,VNG CORPORATION,32233119.45,17739650.55,SE_ASIA,2026-05-20,all_time,8.0,26.0,0.1278,0.8722,0.0533,0.0588,0.01,0.004,0.0017,0.3549,0.4201,0.0616,0.0249,0.0107,247517.956284153,366.0
5da680bb42fa0c4364eb64c8,League of Legends: Wild Rift,com.riotgames.league.wildriftvn,android,LMHT: Tốc Chiến,VNG GROUP JSC,32233119.45,14493468.9,SE_ASIA,2026-05-20,all_time,9.0,27.0,0.0763,0.9237,0.0259,0.0407,0.0058,0.0027,0.0012,0.3161,0.4897,0.0704,0.0336,0.0139,195280.44262295082,366.0
5da67c09a546ab1edeb6c50d,TFT: Teamfight Tactics,6451463643,ios,Đấu Trường Chân Lý,VNG CORPORATION,30475119.0,17325557.85,SE_ASIA,2026-05-20,all_time,7.0,27.0,0.1447,0.8553,0.0564,0.0603,0.017,0.0082,0.0028,0.3354,0.4031,0.0711,0.0312,0.0145,470457.90983606555,366.0
5da67c09a546ab1edeb6c50d,TFT: Teamfight Tactics,com.riotgames.league.teamfighttacticsvn,android,Đấu Trường Chân Lý,VNG GROUP JSC,30475119.0,13149561.15,SE_ASIA,2026-05-20,all_time,9.0,27.0,0.0733,0.9267,0.0266,0.0366,0.006,0.0028,0.0013,0.3352,0.4545,0.0822,0.0365,0.0183,401829.1038251366,366.0
64075e77537c41636a8e1c58,Last War:Survival,6736925794,ios,Last War:Survival VN,Valar Technology Corp,23081811.21,12227149.29,SE_ASIA,2026-05-20,all_time,7.0,30.0,0.2773,0.7227,0.0583,0.1401,0.0485,0.0247,0.0057,0.1652,0.359,0.1337,0.0536,0.0112,60417.98882681564,358.0
64075e77537c41636a8e1c58,Last War:Survival,com.fun.lastwar.vn.gp,android,Last War:Survival VN,Công ty cổ phần phát triển công nghệ số Hồng Hà,23081811.21,10854661.92,SE_ASIA,2026-05-20,all_time,6.0,30.0,0.1961,0.8039,0.0498,0.0782,0.0519,0.0135,0.0027,0.2108,0.3206,0.2029,0.0586,0.011,51660.63305322129,357.0
55de056902ac6453fd058253,ICÁ,com.twincorp.bancaonline,android,ICÁ,ZINGPLAY VIETNAM,16898104.95,12583237.2,SE_ASIA,2026-05-20,all_time,7.0,29.0,0.3287,0.6713,0.0981,0.1461,0.0617,0.0184,0.0044,0.1836,0.3018,0.1327,0.042,0.0112,28944.75956284153,366.0
55de056902ac6453fd058253,ICÁ,1568659894,ios,ICÁ,ZingPlay VietNam,16898104.95,4314867.75,SE_ASIA,2026-05-20,all_time,6.0,29.0,0.3624,0.6376,0.107,0.1532,0.0709,0.0246,0.0067,0.1747,0.278,0.1286,0.044,0.0123,2906.0409836065573,366.0
56e35cf19429946c4e0bac66,Coin Master,406889139,ios,Coin Master,Moon Active,16102875.36,9048001.17,SE_ASIA,2026-05-20,all_time,8.0,31.0,0.4459,0.5541,0.1155,0.1573,0.1145,0.0476,0.011,0.1357,0.1938,0.1495,0.0609,0.0142,174450.3661202186,366.0
56e35cf19429946c4e0bac66,Coin Master,com.moonactive.coinmaster,android,Coin Master,Moon Active,16102875.36,7054874.19,SE_ASIA,2026-05-20,all_time,9.0,31.0,0.4563,0.5437,0.1193,0.1612,0.1178,0.048,0.01,0.1361,0.1959,0.1422,0.0575,0.012,187199.868852459,366.0
58356d7e0211a6bb250005ae,OMG 2 Samkok,com.gs2.omg,android,OMG 3Q - Đấu tướng Tam Quốc,"VNGGames Co., Ltd",14653438.65,7791440.55,SE_ASIA,2026-05-20,all_time,7.0,26.0,0.1419,0.8581,0.0568,0.0716,0.0107,0.0018,0.001,0.344,0.438,0.0585,0.0103,0.0073,7932.232240437159,366.0
58356d7e0211a6bb250005ae,OMG 2 Samkok,1238026766,ios,OMG 3Q - Game Tam Quốc VNG,"VNGGames Co., Ltd",14653438.65,6861912.6,SE_ASIA,2026-05-20,all_time,6.0,26.0,0.1912,0.8088,0.077,0.0846,0.0195,0.0078,0.0023,0.3265,0.394,0.0628,0.0177,0.0078,1317.2486338797814,366.0
58356d7e0211a6bb250005ae,OMG 2 Samkok,gsn.game.sam,android,Cờ tướng ZingPlay,ZINGPLAY VIETNAM,14653438.65,85.5,SE_ASIA,2026-05-20,all_time,4.0,27.0,0.1738,0.8262,0.0716,0.0743,0.0199,0.0061,0.0019,0.3089,0.3737,0.1035,0.0322,0.0079,1630.5273224043715,366.0
5ac2bdddcfc03208313848db,Rise of Kingdoms,1574489575,ios,Rise of Kingdoms - Gamota,KULS JSC,11525724.42,6320660.16,SE_ASIA,2026-05-20,all_time,7.0,29.0,0.1927,0.8073,0.0557,0.0825,0.0348,0.013,0.0067,0.2674,0.354,0.1292,0.0406,0.0161,56046.35519125683,366.0
5ac2bdddcfc03208313848db,Rise of Kingdoms,com.rok.gp.vn,android,Rise of Kingdoms - Gamota,Gamota Corp,11525724.42,5205064.26,SE_ASIA,2026-05-20,all_time,8.0,29.0,0.1921,0.8079,0.0601,0.0869,0.0286,0.0131,0.0034,0.2371,0.3769,0.1186,0.0605,0.0148,63698.68579234973,366.0
63bd1e79e36abf4ca724dad2,TopHeroes,6575363756,ios,Thời Đại Anh Hùng,Valar Technology Corp,9541489.62,5750182.59,SE_ASIA,2026-05-20,all_time,5.0,29.0,0.2777,0.7223,0.0857,0.1234,0.044,0.0167,0.0079,0.224,0.3097,0.1184,0.0526,0.0176,29782.72950819672,366.0
