,,,,,,
,,,Information & Communication Sector,Information & Communication Sector,Arts & Entertainment,Arts & Entertainment
,Year,Total GDP (VND),Value (VND),% Share,Value (VND),% Share
,2015,"4,192,862","29,392",0.70%,"24,969",0.60%
,2016,"4,502,733","31,840",0.71%,"27,128",0.60%
,2017,"5,007,857","34,293",0.68%,"29,990",0.60%
,2018,"5,535,267","37,793",0.68%,"32,418",0.59%
,2019,"6,037,348","40,881",0.68%,"35,291",0.58%
,2020,"6,293,145","42,493",0.68%,"35,573",0.57%
,2021,"8,398,606","295,916",3.52%,"49,404",0.59%
,2022,"9,513,327","334,272",3.51%,"56,059",0.59%
,2023,"10,221,815","354,381",3.47%,"64,316",0.63%
,2024,"11,511,867","387,489",3.37%,"71,488",0.62%
,2025,"12,847,571","419,204",3.26%,"80,922",0.63%
