country_name,country_code,region,income_level,lending_type,indicator_code,indicator_name,year,gdp_per_capita_current_usd
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,565.569730408751
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,522.082215583898
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,525.469770891619
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,491.337221382603
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,496.6025042585
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,510.787063366811
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,356.496214115892
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,357.261152798144
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,413.757894705303
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,4199.53912925398
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,4457.63412207495
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,5006.36012951959
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,5897.65452588774
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,6069.43903131027
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,6027.91350716348
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,7242.45513146613
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,7756.96188744253
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,9730.86921906893
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,11377.7757431099
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,4685.05902729002
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,4424.98529027556
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,4554.66753957828
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,4577.21029180491
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,4468.45341883656
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,3743.5419522929
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,4160.55926736925
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,4960.30334332888
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,5370.477235078
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,5752.99076651465
American Samoa,ASM,East Asia & Pacific,High income,Not classified,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,12727.4102651386
American Samoa,ASM,East Asia & Pacific,High income,Not classified,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,12843.3342903627
