country_name,country_code,region,income_level,lending_type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,4199.53912925398,4457.63412207495,5006.36012951959,5897.65452588774,6069.43903131027,6027.91350716348,7242.45513146613,7756.96188744253,9730.86921906893,11377.7757431099
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4960.30334332888,5370.477235078,5752.99076651465
American Samoa,ASM,East Asia & Pacific,High income,Not classified,12727.4102651386,12843.3342903627,11863.6839452565,12552.0546868861,12886.1359517218,14489.2586563775,15236.1604875571,18017.4589383973,,
Andorra,AND,Europe & Central Asia,High income,Not classified,38654.95287916,40129.8385811474,40672.9717424447,42819.7577456133,41257.816459345,37361.1070081615,42425.7066454357,42414.0479861228,46812.4261013102,49303.6491674336
Angola,AGO,Sub-Saharan Africa ,Lower middle income,IBRD,3641.72893919944,2051.81462126253,2790.71886869768,2860.0936483682,2493.67884440177,1759.35619918264,2303.90812662776,3682.1131513698,2916.13663284275,2665.87444776753
Antigua and Barbuda,ATG,Latin America & Caribbean ,High income,IBRD,16077.6340769406,16556.8551801588,16965.7288273816,18273.4270684912,18896.3721832248,15369.6082250401,17348.6006987182,20105.1989085164,21494.5474000727,23542.4526945578
Argentina,ARG,Latin America & Caribbean ,Upper middle income,IBRD,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13962.1894087223,14261.8465667948,13969.7836603737
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8159.08720967996,8556.21406956719
Aruba,ABW,Latin America & Caribbean ,High income,Not classified,27458.2201537506,27441.5502144601,28440.0416881491,30082.1584226798,30645.8906024548,22759.8071750722,26749.3296093118,30975.9989121779,35718.7531191634,39498.5941293797
Australia,AUS,East Asia & Pacific,High income,Not classified,56970.3613028094,50084.4440606385,54117.547718609,57410.1737346009,55194.7585097428,51983.4523666382,60758.9044397144,65169.5191118657,65058.3773146674,64603.9856308464
Austria,AUT,Europe & Central Asia,High income,Not classified,43915.228020857,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349,53648.6437976214,52336.7725223758,56579.504175468,58268.8787651601
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328,7283.8499076179
"Bahamas, The",BHS,Latin America & Caribbean ,High income,Not classified,30719.405417469,30616.5363157284,31875.4881749619,32642.3353203452,33640.3369861278,26178.7537607708,30367.8605757708,34957.1613279737,38231.774484278,39455.4466548546
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,23734.0551143019,23800.001440631,24784.7693514607,26324.4066549559,27259.7438599327,24342.8444554718,27147.8083882286,30470.5219276023,29290.1284215098,29653.5682731534
Bangladesh,BGD,South Asia,Lower middle income,IDA,1224.38647668165,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307,2593.41611680774
Barbados,BRB,Latin America & Caribbean ,High income,IBRD,20424.2087530019,20295.5672072046,20284.5762052461,21381.2426303209,21912.1501242857,19194.4919736739,21079.6145271791,24387.0387293761,25583.878782727,26544.8707282621
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,5967.05595058777,5039.77560949445,5785.54491935194,6360.037502312,6837.77339645635,6542.85579976768,7489.71894713888,7994.64806074889,7896.75388295584,8317.63399913792
Belgium,BEL,Europe & Central Asia,High income,Not classified,40893.804537772,41854.5498296444,44035.3239358548,47487.2100392561,46716.6227467964,45906.2875805246,51658.238294958,50605.7496677086,55291.4754541329,56614.5679499036
Belize,BLZ,Latin America & Caribbean ,Upper middle income,Blend,6154.62264230369,6140.86713919469,6071.85451846453,6011.99036888587,6171.61449761423,5238.54078175696,6142.98930557031,7068.21728043145,7424.75821321022,7681.24400583113
Benin,BEN,Sub-Saharan Africa ,Lower middle income,IDA,1002.41886879614,1010.5338961993,1054.97408066814,1151.7409703472,1130.82135339795,1200.19426557789,1318.65158075198,1266.42711031904,1394.17784721831,1485.38018885134
Bermuda,BMU,North America,High income,Not classified,104855.366822135,108747.356144305,112339.425587467,113204.82210838,115798.040775578,106976.546239632,112765.08167306,121613.939983629,132604.439086216,142855.374713782
Bhutan,BTN,South Asia,Lower middle income,IDA,2954.04081911097,3152.30905106786,3435.28804735662,3400.20417245342,3576.87987100503,3191.66906999331,3570.61257980872,3711.32767981591,3831.32535494609,
Bolivia,BOL,Latin America & Caribbean ,Lower middle income,IBRD,2996.01289811344,3035.87347732132,4048.40119739839,4206.8552936661,4203.15492855788,3580.96761778303,4010.76053686204,4219.46113742445,4274.70820547613,4421.16609889999
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,4662.25869219448,4928.5665903114,5345.01978766473,6047.84707207392,6122.37541352353,6130.31187968266,7295.34378682258,7655.59421024383,8663.02326458629,9358.78768951134
Botswana,BWA,Sub-Saharan Africa ,Upper middle income,IBRD,6141.20394726616,6749.05994339013,7104.96401088027,7407.95940141786,7172.08956480028,6323.2974967659,7807.88794570471,8328.7090572666,7826.35376483298,7695.75319445165
Brazil,BRA,Latin America & Caribbean ,Upper middle income,IBRD,8936.1955889444,8836.28546025694,10080.5078722821,9300.66072904004,9029.83304401079,7074.19407495707,7972.53696080695,9281.33282136864,10377.5897719195,10310.5488778166
British Virgin Islands,VGB,Latin America & Caribbean ,High income,Not classified,,,,,,,,,,
Brunei Darussalam,BRN,East Asia & Pacific,High income,Not classified,30625.1287744656,26663.2972950602,28024.3824580252,30988.1190267227,30426.5730656528,26834.3592233943,31006.9636289785,36632.9280952155,32890.5491812019,33153.4738913513
Bulgaria,BGR,Europe & Central Asia,High income,IBRD,7268.65445473873,7822.49923292968,8696.68930427924,9849.38397225174,10353.7204584127,10760.211975413,12966.1457543396,13999.1949530956,15853.208636704,17596.0173663521
Burkina Faso,BFA,Sub-Saharan Africa ,Low income,IDA,630.124750752312,663.742364842886,709.091535894695,777.465618514048,764.853077774946,825.237038782475,895.535288442991,827.330843486661,873.482589651003,981.992649769081
Burundi,BDI,Sub-Saharan Africa ,Low income,IDA,254.402585226788,232.937812100153,246.060725714184,245.661678332009,234.31061590725,255.8324539389,264.980379269655,302.992505263552,250.627253097255,219.424830882698
Cabo Verde,CPV,Sub-Saharan Africa ,Upper middle income,Blend,3415.06266730931,3608.96605234906,3893.09571382506,4294.96510035729,4380.78117331128,3539.22661248299,3971.44409203423,4323.31362032709,4794.90121917259,5192.48157325878
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA,1547.32010444393,1675.19555711109,1826.35391688754,2036.67377566578,2225.87705485686,2081.73914242939,2167.40324198499,2325.03050040841,2429.74853452838,2627.87969756224
Cameroon,CMR,Sub-Saharan Africa ,Lower middle income,Blend,1415.00009710569,1441.7201725688,1496.08951771242,1610.69641591017,1555.22660476477,1555.60370660749,1672.32657340872,1604.87726954895,1720.47510154506,1830.00833684727
Canada,CAN,North America,High income,Not classified,43594.1941045394,42314.0615817218,45129.628116623,46539.1761570405,46352.8693445211,43537.839298904,52886.6616372703,56256.8007264015,54220.3285039875,54340.3477224733
Cayman Islands,CYM,Latin America & Caribbean ,High income,Not classified,76379.2098777987,77802.2535658023,80053.9442657031,83865.5540393356,88254.2902486867,82338.7977439023,86449.6749037302,93030.7051447803,99143.5180243123,
Central African Republic,CAF,Sub-Saharan Africa ,Low income,IDA,366.322853938121,387.176203444318,432.324025684263,455.243962859534,449.228467602439,462.879071294011,492.263142830507,467.359825026238,495.978897288721,516.160999996036
Chad,TCD,Sub-Saharan Africa ,Low income,IDA,993.990730610869,861.831767630746,854.46120040098,948.656629871231,893.336441643325,866.947814890409,946.358500208374,966.036468278568,949.333453674592,961.55975562506
Channel Islands,CHI,Europe & Central Asia,High income,Not classified,61847.8212238857,55947.579811974,55806.3554257428,60784.8125397162,60564.6293993681,56785.9402005039,66915.3963925722,67627.1417347907,74585.5224096294,
Chile,CHL,Latin America & Caribbean ,High income,IBRD,13433.9202987032,13649.8520452803,14879.9086227187,15659.4808675628,14495.716721687,13114.815470545,16206.8325493421,15405.6165774073,17067.0364799154,16709.8893972307
China,CHN,East Asia & Pacific,Upper middle income,IBRD,8175.33285077393,8254.86859320357,8979.67652709856,10085.6638148819,10342.9009524335,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043,13303.1481543868
Colombia,COL,Latin America & Caribbean ,Upper middle income,IBRD,6248.51490534512,5959.84250367574,6479.53231292429,6816.96818309544,6472.54544924705,5339.68711357943,6222.62164397614,6680.44506854481,7000.83660501046,7919.20886825345
Comoros,COM,Sub-Saharan Africa ,Lower middle income,IDA,1329.37048235986,1365.48403444497,1423.9248027797,1527.40527125285,1510.23218151592,1519.34665556206,1554.97289190153,1465.479642862,1560.27378476855,1662.75663312504
"Congo, Dem. Rep.",COD,Sub-Saharan Africa ,Low income,IDA,495.826633014883,459.765036590388,431.052559128788,518.169626875371,504.00419142286,486.425572682256,595.743074403567,687.738587554685,660.21205238997,649.383338556725
"Congo, Rep.",COG,Sub-Saharan Africa ,Lower middle income,Blend,2439.35189403696,2093.10728558843,2211.63309874797,2694.43413191427,2488.42466724916,1993.586671931,2516.16255145432,2620.83804267402,2477.97845544866,2482.2489948456
Costa Rica,CRI,Latin America & Caribbean ,High income,IBRD,11714.7105980732,12091.0301606154,12317.0902771304,12590.2493781614,12884.6859951989,12394.0493969492,12838.1185358931,13625.9008491328,16942.0268119375,18587.1532203482
Cote d'Ivoire,CIV,Sub-Saharan Africa ,Lower middle income,Blend,1814.71855088017,1862.59597081287,1964.29930338343,2130.86619381144,2141.76836170115,2179.72934832935,2455.98127641148,2333.37128301259,2591.9659048119,2727.8935220697
Croatia,HRV,Europe & Central Asia,High income,IBRD,12283.7840620053,12820.1653893008,13901.7878144679,15460.3669595491,15563.5987295029,14807.5608543265,17788.7865816658,18465.5414420364,22184.2279304842,24050.4397933135
Cuba,CUB,Latin America & Caribbean ,Upper middle income,Not classified,7727.91997207998,8110.55874283616,8610.60829605429,8911.46205998726,9232.26115935183,9605.27914559614,,,,
Curacao,CUW,Latin America & Caribbean ,High income,Not classified,19361.8129630226,18944.0962772875,18938.2440965187,19119.1244887029,19220.6865793075,16299.8134349902,17795.5826616182,20057.1404747175,21217.8110321785,22832.8953958667
Cyprus,CYP,Europe & Central Asia,High income,Not classified,23088.44140625,24280.056640625,26247.44921875,29120.375,29227.173828125,28130.341796875,32937.83984375,33231.04296875,36623.69140625,38674.29296875
Czechia,CZE,Europe & Central Asia,High income,Not classified,17931.5987670768,18753.9686718096,20913.197632212,23705.9329811299,24062.7190013343,23472.8915454417,27696.4619527544,28282.2236715857,31761.5944102491,31823.3078290564
Denmark,DNK,Europe & Central Asia,High income,Not classified,53094.0133607574,54500.9260410217,57521.5514992225,61324.7665045565,59404.2663247723,60985.4885601514,69340.7334922138,67781.0940939514,68043.5466971243,71026.4832271897
Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,2376.12554719873,2510.4300076241,2618.95521147369,2718.08338799203,2837.16902340932,2844.88810647853,3025.91126413549,3133.25779772463,3381.29779710722,3552.72335079222
Dominica,DMA,Latin America & Caribbean ,Upper middle income,Blend,8282.59874702141,8802.56172041363,8224.64896571414,9215.3085405645,9491.14995962374,7827.74842680426,8376.40414141113,9323.66089490562,9912.96212766668,10405.2787777582
Dominican Republic,DOM,Latin America & Caribbean ,Upper middle income,IBRD,6800.95309395474,7160.44200982307,7412.71571571512,7882.98221584944,8183.01623600375,7135.22273255899,8527.0754858205,10104.2449349081,10630.431743829,10875.6618443092
Ecuador,ECU,Latin America & Caribbean ,Upper middle income,IBRD,5976.1596805651,5917.63771271481,6233.32244797718,6303.91886658338,6205.05765246766,5463.64515348598,6061.32350181711,6515.58528418336,6737.84748379638,6874.705739766
"Egypt, Arab Rep.",EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,3306.98159414141,3270.6287768197,2395.10333299491,2484.70315630508,2962.98892023003,3511.11381026379,3827.35415374308,4233.30783744856,3456.78968456253,3338.47371395895
El Salvador,SLV,Latin America & Caribbean ,Upper middle income,IBRD,3790.34089108162,3901.34014965811,4020.12671373919,4183.54620971358,4320.11671534627,3997.19279583709,4642.60743101342,5074.60210221806,5365.44491399171,5579.65969165029
Equatorial Guinea,GNQ,Sub-Saharan Africa ,Upper middle income,IBRD,9068.91003238645,7453.19797948517,7809.10465655488,8102.47084834031,6804.14923073888,5764.05502912947,6945.63069794539,7589.29964909381,6677.793435386,6745.40013244916
Eritrea,ERI,Sub-Saharan Africa ,Low income,IDA,,,,,,,,,,
Estonia,EST,Europe & Central Asia,High income,Not classified,17722.1557669523,18666.3736521706,20851.5223496861,23618.1361254581,24021.2501413306,23933.9939421065,27951.1659277744,28340.3826549406,30264.0064885057,31428.3547816104
Eswatini,SWZ,Sub-Saharan Africa ,Lower middle income,Blend,3419.82276559528,3238.17611961364,3853.09956569679,3972.65450620357,3913.14577547336,3466.56936278145,3984.00229174306,3894.1620089869,3755.52111232464,3909.55892378182
Ethiopia,ETH,Sub-Saharan Africa ,Not classified,IDA,597.912113218663,641.651523286233,696.348429076216,739.702022272086,793.473247210264,829.790982547947,893.00983544905,982.103161506992,1055.81091592527,1133.88279681719
Faroe Islands,FRO,Europe & Central Asia,High income,Not classified,52637.1903526574,56875.2803813296,59387.353086482,62526.4908515743,63068.2872688483,62243.1905561324,69415.1853254579,67058.2022648126,72465.3769660215,74119.6607553879
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend,5097.53106864695,5363.79026679243,5826.84814459328,6085.41979485376,5842.07344577597,4620.6457238014,4536.73312110335,5414.12092119088,5926.20586394763,6425.74151715712
Finland,FIN,Europe & Central Asia,High income,Not classified,42560.3456767103,43451.2562442158,46085.0174739036,49654.2497035329,48358.1807773701,48828.6846862799,53099.1351400148,50440.560224974,52834.2916752703,53149.7671934051
France,FRA,Europe & Central Asia,High income,Not classified,36702.4323733379,37024.2157133669,38687.1626407164,41418.1766484844,40408.2848574751,39169.8606000707,43725.0999521245,40988.6396406579,44700.1384177544,46103.0840855884
